Year,Gender,Race/Ethnicity,LEP Status,LEP Numeric,Economically Disadvantaged Status,ED Numeric,Language Code,English Language Proficiency Level,ELPL Numeric,Primary Disability Type,ELA Scale Score,ELA Achievement Level,ELA AL ,Math Scale Score,Math Achievement Level,Math AL ,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category,Fall RIT,Fall %ile,Typical RIT Growth Points,Tiered RIT Growth Points,Winter GOAL Score,Spring GOAL Score,Winter RIT,Winter %ile,BOY to Winter Growth,Met Winter goal?,Met Winter Goal Numeric,Spring RIT,Spring %ile,BOY to Spring RIT Growth,Winter to Spring RIT Growth ,Met Spring Goal?,Met Spring Goal Numeric 
2017,F,Asian,N,0,N,0,VIE,NA,6,NA,2701,Standard Exceeded,4,2700,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,228,93,3,4,230,232,223,83,-5,No,0,228,87,0,5,Not Yet,0
2017,M,Asian,Y,1,N,0,VIE,ADVANCED,5,NA,2701,Standard Exceeded,4,2700,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,233,96,2,3,234,236,236,97,3,Yes,1,231,91,-2,-5,Not Yet,0
2017,M,Asian,Y,1,Y,1,VIE,EARLY ADVANCED,4,NA,2490,Standard Nearly Met,2,2622,Standard Exceeded,4,Above Standard,Near Standard,Above Standard,208,56,6,9,213,217,217,71,9,Yes,1,211,49,3,-6,Not Yet,0
2017,F,Asian,N,0,Y,1,VIE,NA,6,NA,2571,Standard Met,3,2561,Standard Met,3,Above Standard,Near Standard,Near Standard,201,38,7,11,206,212,206,42,5,No,0,209,43,8,3,Not Yet,0
2017,M,Asian,Y,1,N,0,VIE,EARLY ADVANCED,4,NA,2588,Standard Exceeded,4,2516,Standard Nearly Met,2,Above Standard,Below Standard,Below Standard,215,73,5,8,219,223,212,58,-3,No,0,202,26,-13,-10,Not Yet,0
2017,M,Asian,Y,1,N,0,VIE,INTERMEDIATE,3,SLD,2387,Standard Not Met,1,2505,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,191,17,8,12,197,203,186,6,-5,No,0,201,24,10,15,Not Yet,0
2017,M,Asian,Y,1,N,0,VIE,BEGINNING,1,AUT,2284,Standard Not Met,1,2385,Standard Not Met,1,Below Standard,Near Standard,Below Standard,149,1,13,20,159,169,159,1,10,Yes,1,158,1,9,-1,Not Yet,0
2017,M,Asian,N,0,N,0,CHI,EARLY ADVANCED,4,NA,2560,Standard Met,3,2607,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,197,28,7,11,202,208,213,61,16,Yes,1,211,49,14,-2,Yes,1
2017,M,Filipino,N,0,N,0,ENG,NA,6,NA,2642,Standard Exceeded,4,2667,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,226,91,3,4,228,230,221,79,-5,No,0,234,94,8,13,Yes,1
2017,F,White,N,0,N,0,ENG,NA,6,NA,2526,Standard Met,3,2615,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,200,35,7,11,205,211,209,50,9,Yes,1,213,54,13,4,Yes,1
2017,F,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2535,Standard Met,3,2544,Standard Met,3,Near Standard,Near Standard,Near Standard,216,75,5,6,219,222,224,85,8,Yes,1,226,84,10,2,Yes,1
2017,M,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2425,Standard Not Met,1,2539,Standard Met,3,Near Standard,Near Standard,Near Standard,197,28,7,11,202,208,197,21,0,No,0,211,49,14,14,Yes,1
2017,M,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2433,Standard Not Met,1,2546,Standard Met,3,Above Standard,Near Standard,Near Standard,177,3,10,15,185,192,196,19,19,Yes,1,208,41,31,12,Yes,1
2017,M,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2504,Standard Met,3,2493,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,199,33,7,11,204,210,214,63,15,Yes,1,212,51,13,-2,Yes,1
